YEAR,Team,Prev Name,Nickname,Abbrev,Attendance,Num,Class,Prev W%,Prev Home W%,Prev All-NBA points,Prev playoff points,Prev attendance,Prev LW attendance
2022,Atlanta Hawks,Atlanta Hawks,Hawks,ATL,0.905618722,12,Slightly High,0.569444444,0.694444444,0,4,0.885417817,0.124515443
2022,Boston Celtics,Boston Celtics,Celtics,BOS,1,13,High,0.5,0.583333333,0,1,0.996502401,0.124515443
2022,Brooklyn Nets,Brooklyn Nets,Nets,BKN,0.978682608,13,High,0.666666667,0.777777778,0,2,0.925050756,0.124515443
2022,Charlotte Hornets,Charlotte Hornets,Hornets,CHA,0.895895581,12,Slightly High,0.458333333,0.5,0,0,0.809246737,0.124515443
2022,Chicago Bulls,Chicago Bulls,Bulls,CHI,0.998278912,13,High,0.430555556,0.416666667,0,0,0.89898169,0.124515443
2022,Cleveland Cavaliers,Cleveland Cavaliers,Cavaliers,CLE,0.951677645,13,High,0.305555556,0.361111111,0,0,0.916838205,0.124515443
2022,Dallas Mavericks,Dallas Mavericks,Mavericks,DAL,1.028072917,14,Very High,0.583333333,0.583333333,3,1,1.04484375,0.124515443
2022,Denver Nuggets,Denver Nuggets,Nuggets,DEN,0.86869877,12,Slightly High,0.652777778,0.694444444,3,2,0.982889344,0.124515443
2022,Detroit Pistons,Detroit Pistons,Pistons,DET,0.795986622,11,Slightly Low,0.277777778,0.361111111,0,0,0.759295692,0.124515443
2022,Golden State Warriors,Golden State Warriors,Warriors,GSW,1,13,High,0.541666667,0.694444444,3,0,1,0.124515443
2022,Houston Rockets,Houston Rockets,Rockets,HOU,0.863140404,12,Slightly High,0.236111111,0.25,0,0,1.001163113,0.124515443
2022,Indiana Pacers,Indiana Pacers,Pacers,IND,0.801149361,11,Slightly Low,0.472222222,0.361111111,0,0,0.922334431,0.124515443
2022,Los Angeles Clippers,Los Angeles Clippers,Clippers,LAC,0.887665198,12,Slightly High,0.652777778,0.722222222,4,4,1,0.124515443
2022,Los Angeles Lakers,Los Angeles Lakers,Lakers,LAL,0.978026012,13,High,0.583333333,0.583333333,2,1,0.996276484,0.124515443
2022,Memphis Grizzlies,Memphis Grizzlies,Grizzlies,MEM,0.886534787,12,Slightly High,0.527777778,0.5,0,1,0.891143082,0.124515443
2022,Miami Heat,Miami Heat,Heat,MIA,1.001428571,13,High,0.555555556,0.583333333,1,1,1.004081633,0.124515443
